"No.","Time","Source","Destination","Protocol","Length","Info"
"90","0.332390","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62781, Time=2319262554"
"91","0.333543","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62782, Time=2319262554"
"92","0.334688","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62783, Time=2319262554"
"93","0.335838","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62784, Time=2319262554"
"94","0.336987","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62785, Time=2319262554"
"95","0.340457","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62786, Time=2319262554"
"96","0.340499","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62787, Time=2319262554"
"97","0.340527","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62788, Time=2319262554"
"98","0.341579","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62789, Time=2319262554"
"99","0.342735","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62790, Time=2319262554"
"100","0.343883","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62791, Time=2319262554"
"101","0.345032","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62792, Time=2319262554"
"102","0.345098","127.0.0.1","127.0.0.1","RTP","352","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33330, Time=535142956, Mark"
"103","0.346181","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62793, Time=2319262554"
"104","0.347332","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62794, Time=2319262554"
"105","0.348480","127.0.0.1","127.0.0.1","RTP","1192","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62795, Time=2319262554, Mark"
"106","0.349633","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62796, Time=2319268554"
"107","0.355197","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62797, Time=2319268554"
"108","0.360752","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62798, Time=2319268554"
"109","0.366304","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62799, Time=2319268554"
"110","0.368320","127.0.0.1","127.0.0.1","RTP","364","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33331, Time=535143980, Mark"
"111","0.371880","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62800, Time=2319268554"
"112","0.377419","127.0.0.1","127.0.0.1","RTP","1154","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62801, Time=2319268554, Mark"
"113","0.382967","127.0.0.1","127.0.0.1","RTP","1442","PT=DynamicRTP-Type-96, SSRC=0x9E7BC18D, Seq=62802, Time=2319265554"
"114","0.391555","127.0.0.1","127.0.0.1","RTP","346","PT=DynamicRTP-Type-96, SSRC=0x7B6071FB, Seq=33332, Time=535145004, Mark"
